# ===== Simulation Performance =====
# wall_clock_time,0.273835
# physics_time,10.005000
# real_time_factor,36.536544
# control_time,0.000067
# ==================================

time,sim_time,x_log,xd_log,task_error,u0,u1
0.0,0.005,"[0.24, 0.0, 0.24]","[0.19798989873223327, 0.0, 0.15514718625761428]",0.09468288445399207,0.0,0.0
0.025,0.030000000000000002,"[0.2399573469307523, 0.0, 0.23567576749849944]","[0.19742366992410598, 0.0, 0.15569160681577834]",0.09059017407989159,-0.10479500008049494,0.10282360478851714
0.049999999999999996,0.05499999999999999,"[0.23953850068304766, 0.0, 0.22609330490052043]","[0.19683585115799968, 0.0, 0.15621400923949044]",0.08189403054277354,-0.13145024400585253,0.132617897877906
0.075,0.08,"[0.23829799946967617, 0.0, 0.21353347693627678]","[0.19622666904923833, 0.0, 0.15671419213267193]",0.0706995613065514,-0.16779874003761808,0.1607299245633557
0.10000000000000002,0.10500000000000002,"[0.2360214123748655, 0.0, 0.19978385434802207]","[0.1955963584491211, 0.0, 0.15719196266529603]",0.05872183769273924,-0.2026746418199333,0.15472451756634858
0.12500000000000003,0.13000000000000003,"[0.23281506329309876, 0.0, 0.18623387339176226]","[0.19494516235438294, 0.0, 0.15764713664772761]",0.04744819190212509,-0.23607159457699325,0.1405927448036343
0.15000000000000005,0.15500000000000005,"[0.2302291213141998, 0.0, 0.17765293790051573]","[0.19427333181351442, 0.0, 0.15807953860173185]",0.040938206589043825,-1.416985892626061,0.017544272458145906
0.17500000000000007,0.18000000000000008,"[0.2305875600452611, 0.0, 0.18091735936590875]","[0.1935811258299779, 0.0, 0.15848900182812437]",0.04327247849583811,-0.9305374103900019,0.2561756361911211
0.2000000000000001,0.2050000000000001,"[0.23120728048320385, 0.0, 0.18863445094423303]","[0.1928688112623568, 0.0, 0.15887536847103678]",0.048532887940491785,-0.686135495196782,0.497064081425701
0.22500000000000012,0.23000000000000012,"[0.23012819231878254, 0.0, 0.1943908420534465]","[0.1921366627214765, 0.0, 0.15923848957877357]",0.051759484209626984,-0.5499709008402288,0.6439928236735176
0.2500000000000001,0.2550000000000001,"[0.2268175880442684, 0.0, 0.19589781197394657]","[0.1913849624645365, 0.0, 0.15957822516123524]",0.05074035220334547,-0.461372646043999,0.7338403771648013
0.27500000000000013,0.28000000000000014,"[0.22118931273068781, 0.0, 0.19307205279441503]","[0.19061400028629522, 0.0, 0.15989444424388768]",0.0451176621757406,-0.4111808261427865,0.7681825691744414
0.30000000000000016,0.30500000000000016,"[0.21342120626378125, 0.0, 0.18713196552144343]","[0.18982407340734828, 0.0, 0.160187024918255]",0.03581695831800211,-0.39991608320988414,0.7573768963148149
0.3250000000000002,0.3300000000000002,"[0.20405488793941162, 0.0, 0.17992573957172234]","[0.1890154863595444, 0.0, 0.16045585438891768]",0.024602033023961835,-0.4156039277114171,0.7126378577351735
0.3500000000000002,0.3550000000000002,"[0.19399491668073893, 0.0, 0.17320596359633614]","[0.18818855086858272, 0.0, 0.16070082901699742]",0.01378739550429846,-0.44009497346297805,0.6476325473758424
0.3750000000000002,0.3800000000000002,"[0.18426538018665728, 0.0, 0.16808586098803946]","[0.18734358573383644, 0.0, 0.16092185436011175]",0.0077973290526741745,-0.4585411099165976,0.5725532111272714
0.40000000000000024,0.40500000000000025,"[0.17569323060828493, 0.0, 0.16491027726631685]","[0.18648091670544964, 0.0, 0.1611188452087835]",0.011434558512590348,-0.46475435445237995,0.49416224045120843
0.42500000000000027,0.43000000000000027,"[0.16873298406108064, 0.0, 0.16346296739906985]","[0.18560087635875444, 0.0, 0.16129172561929062]",0.017007059752708047,-0.45901982873260877,0.41648748936604885
0.4500000000000003,0.4550000000000003,"[0.163484657900442, 0.0, 0.16326775149331121]","[0.1847038039660568, 0.0, 0.16144042894294391]",0.02129768220856383,-0.44432693761677483,0.34208093489877417
0.4750000000000003,0.4800000000000003,"[0.15981512892549382, 0.0, 0.16381462447020845]","[0.18379004536584065, 0.0, 0.16156489785178146]",0.02408023854074688,-0.42403251226322536,0.27261327199833835
0.5000000000000003,0.5050000000000003,"[0.15748503676095035, 0.0, 0.16467514805608602]","[0.18285995282944062, 0.0, 0.16166508436066948]",0.025552824676215155,-0.40108292306881205,0.20915215259911696
0.5250000000000004,0.5300000000000004,"[0.15623582982261547, 0.0, 0.1655391244885442]","[0.18191388492523453, 0.0, 0.16174094984580167]",0.02595743909691233,-0.37788177419210744,0.15231122716696394
0.5500000000000004,0.5550000000000004,"[0.1558338730171559, 0.0, 0.16621117780437633]","[0.18095220638040874, 0.0, 0.16179246505958939]",0.025504032882437303,-0.3562828235336145,0.10238757221942454
0.5750000000000004,0.5800000000000004,"[0.1560847677722969, 0.0, 0.1665916564900682]","[0.17997528794034864, 0.0, 0.16181961014193705]",0.024362458419642276,-0.33758350684760385,0.059485695671194626
0.6000000000000004,0.6050000000000004,"[0.15683178592564248, 0.0, 0.16665349536214386]","[0.1789835062257094, 0.0, 0.16182237462789864]",0.02267241583513436,-0.3225418066288237,0.02360725176638335
0.6250000000000004,0.6300000000000004,"[0.15794809532206172, 0.0, 0.1664198178930214]","[0.1779772435872214, 0.0, 0.16180075745171227]",0.020554865594019717,-0.31143954991676714,-0.00530429410282914
0.6500000000000005,0.6550000000000005,"[0.15932818448667158, 0.0, 0.1659442147195336]","[0.17695688795828687, 0.0, 0.1617547669472108]",0.018119676010546152,-0.3041847570634227,-0.02735723253698151
0.6750000000000005,0.6800000000000005,"[0.16088091156663584, 0.0, 0.16529454368977514]","[0.17592283270542414, 0.0, 0.1616844208446092]",0.015469078140041677,-0.30042855469629787,-0.04272698177251177
0.7000000000000005,0.7050000000000005,"[0.16252486020214404, 0.0, 0.16454055886804264]","[0.17487547647661733, 0.0, 0.16158974626366918]",0.01269822890742696,-0.2996727848492039,-0.05167655851260308
0.7250000000000005,0.7300000000000005,"[0.1641858090827572, 0.0, 0.16374528664016227]","[0.17381522304762995, 0.0, 0.16147077970324386]",0.009894392104266746,-0.30135429314475437,-0.05457100048306998
0.7500000000000006,0.7550000000000006,"[0.16579577470396867, 0.0, 0.16295976976307303]","[0.17274248116634178, 0.0, 0.16132756702720685]",0.007135882317229268,-0.3049026351843783,-0.05188134829722728
0.7750000000000006,0.7800000000000006,"[0.167293035131918, 0.0, 0.16222061668734283]","[0.17165766439516855, 0.0, 0.16116016344677106]",0.004491608807661475,-0.3097751588174476,-0.04417870721473363
0.8000000000000006,0.8050000000000006,"[0.1686226387675385, 0.0, 0.1615497261950365]","[0.17056119095162608, 0.0, 0.16096863349920337]",0.0020237720453601888,-0.31547626774744586,-0.032121098549742114
0.8250000000000006,0.8300000000000006,"[0.16973705352886173, 0.0, 0.16095557920858783]","[0.1694534835470991, 0.0, 0.16075305102294446]",0.00034846750284187413,-0.3215673266060365,-0.016435892851416868
0.8500000000000006,0.8550000000000006,"[0.17059676140571003, 0.0, 0.16043556123614183]","[0.16833496922387825, 0.0, 0.1605134991291428]",0.002263134593646789,-0.32767179150843917,0.0021002909205439543
0.8750000000000007,0.8800000000000007,"[0.17117071951028212, 0.0, 0.15997886561162822]","[0.16720607919052705, 0.0, 0.1602500701696135]",0.003973905481676637,-0.3334780194222364,0.022683312691314093
0.9000000000000007,0.9050000000000007,"[0.17143667945164662, 0.0, 0.1595696074953243]","[0.1660672486556427, 0.0, 0.15996286570123505]",0.005383812690797417,-0.33874050683526935,0.04450452002697272
0.9250000000000007,0.9300000000000007,"[0.1713813836047518, 0.0, 0.15918984317520252]","[0.1649189166600751, 0.0, 0.15965199644679723]",0.006478970956678589,-0.3432792709913033,0.06677474307186351
0.9500000000000007,0.9550000000000007,"[0.1710006494459641, 0.0, 0.15882224095897424]","[0.16376152590766804, 0.0, 0.1593175822523152]",0.0072560507577883425,-0.3469767180042992,0.08874864994105766
0.9750000000000008,0.9800000000000008,"[0.1702993256144641, 0.0, 0.15845219788316028]","[0.16259552259458845, 0.0, 0.15895975204082693]",0.007720504659153422,-0.34977153409013345,0.10974835322784504
1.0000000000000007,1.0050000000000006,"[0.16929107106156488, 0.0, 0.15806925163559987]","[0.16142135623730947, 0.0, 0.15857864376269046]",0.007886183598816814,-0.3516497090635192,0.12918475105978902
1.0250000000000001,1.03,"[0.16799788591322481, 0.0, 0.15766770780613312]","[0.16023947949931308, 0.0, 0.15817440434240182]",0.007774934820517367,-0.352633511019923,0.14657492989440185
1.0499999999999996,1.0549999999999995,"[0.16644932057256362, 0.0, 0.15724649010071787]","[0.15905034801657986, 0.0, 0.1577471896219525]",0.007415894746742667,-0.35276980463546703,0.16155413521997108
1.074999999999999,1.079999999999999,"[0.16468131356368423, 0.0, 0.15680831721693445]","[0.15785442022193252, 0.0, 0.15729716430074966]",0.006844373175902121,-0.3521193175876445,0.17388131017463862
1.0999999999999985,1.1049999999999984,"[0.1627346566099695, 0.0, 0.15635839795936457]","[0.15665215716830144, 0.0, 0.1568245018721213]",0.006100332147955497,-0.3507482204424073,0.1834378987692899
1.124999999999998,1.129999999999998,"[0.1606531476620844, 0.0, 0.15590289578053135]","[0.15544402235097987, 0.0, 0.15632938455643114]",0.005226555192740096,-0.3487227811703425,0.19022034697432377
1.1499999999999975,1.1549999999999974,"[0.15848155373493772, 0.0, 0.15544742941578854]","[0.15423048152893787, 0.0, 0.1558120032308294]",0.004266676571670024,-0.346107107133955,0.194327353732335
1.174999999999997,1.1799999999999968,"[0.1562635491530313, 0.0, 0.1549958428157469]","[0.1530120025452631, 0.0, 0.15527255735566586]",0.003263299906397138,-0.3429633451760076,0.19594332086036634
1.1999999999999964,1.2049999999999963,"[0.1540398091389338, 0.0, 0.15454940395994698]","[0.15178905514679858, 0.0, 0.1547112548975942]",0.002256565810945907,-0.33935334558979946,0.1953195963035833
1.2249999999999959,1.2299999999999958,"[0.15184641992423795, 0.0, 0.15410649779847915]","[0.15056211080304624, 0.0, 0.154128312249397]",0.0012844943709666699,-0.3353407479115852,0.19275503355395307
